date,obs,freq,flux,ferr,rms
0.25,1,5.5,66,33,30
0.25,1,9,107,5,11
1.4,2,5.5,97,30,60
1.4,2,9,297,22,29
1.4,2,16.7,988,46,61
1.4,2,21.2,764,160,192
6.3,3,5.5,182,20,30
6.3,3,9,447,17,21
6.3,3,16.7,442,94,36
11,4,5.5,294,9,12
11,4,9,535,15,11
11,4,16.7,729,23,20
11,4,21.2,548,38,45
17,5,5.5,407,29,36
17,5,9,225,25,36
23,6,1.3,95,13,22
23,6,3.1,187,16,27
23,6,5.5,230,20,24
23,6,9,302,20,19
23,6,16.7,97,16,39
54,7,5.5,378,17,21
54,7,9,200,14,17
54,7,16.7,179,85,40
75,8,1.6,210,55,51
75,8,2.6,364,22,38
75,8,5.5,271,16,32
75,8,9.0,185,14,26
129,9,1.3,179,27,58
129,9,3.1,152,11,14
129,9,5.5,150,8,7
129,9,9.0,100,12,6
160,10,1.6,125,34,21
160,10,2.6,134,26,15
160,10,5.5,113,8.2,9
160,10,9.0,81.2,6.7,7
