obs,start,stop,freq,flux,err,rms,band
1,2024-02-05 22:26:19.9,2024-02-06 9:53:54.9,5.5,66,33,30,C
1,2024-02-05 22:26:24.9,2024-02-05 23:26:24.9,9,113,39,6,X
1,2024-02-05 23:26:24.9,2024-02-06 00:26:24.9,9,51,60,3,X
1,2024-02-06 00:26:24.9,2024-02-06 01:26:24.9,9,164,31,8,X
1,2024-02-06 01:26:24.9,2024-02-06 02:26:24.9,9,181,28,9,X
1,2024-02-06 00:26:24.9,2024-02-06 03:26:24.9,9,142,26,7,X
1,2024-02-06 00:26:24.9,2024-02-06 04:26:24.9,9,67,25,3,X
1,2024-02-06 04:26:24.9,2024-02-06 05:26:24.9,9,107,30,5,X
1,2024-02-06 05:26:24.9,2024-02-06 06:26:24.9,9,113,31,6,X
1,2024-02-06 06:26:24.9,2024-02-06 07:26:24.9,9,82,31,4,X
1,2024-02-06 07:26:24.9,2024-02-06 08:26:24.9,9,118,34,6,X
1,2024-02-06 08:26:24.9,2024-02-06 09:26:24.9,9,140,33,7,X
1,2024-02-06 09:26:24.9,2024-02-06 10:26:24.9,9,145,61,7,X
2,2024-02-07 6:21:09.9,2024-02-07 10:44:39.9,5.5,97,30,60,C
2,2024-02-07 6:21:09.9,2024-02-07 10:44:39.9,9,297,22,29,X
2,2024-02-07 7:04:09.9,2024-02-07 10:31:29.9,16.7,988,47,61,Ku
2,2024-02-07 7:04:09.9,2024-02-07 10:31:29.9,21.2,764,160,192,K
3,2024-02-12 4:30:09.9,2024-02-12 7:20:09.9,5.5,182,20,30,C
3,2024-02-12 4:30:09.9,2024-02-12 7:20:09.9,9.0,447,17,21,X
3,2024-02-12 5:13:09.9,2024-02-12 7:58:19.9,16.7,442,94,36,Ku
4,2024-02-16 23:36:49.9,2024-02-16 6:26:09.9,5.5,294,9,12,C
4,2024-02-16 23:36:49.9,2024-02-17 6:26:09.9,9,535,15,11,X
4,2024-02-17 00:22:29.9,2024-02-17 5:55:49.9,16.7,729,23,20,Ku
4,2024-02-17 02:14:34.928223,2024-02-17 05:55:49.9,21.2,548,38,45,K
5,2024-02-23 07:06:39.9,2024-02-23 10:55:09.9,5.5,407,29,36,C
5,2024-02-23 07:06:39.9,2024-02-23 10:55:09.9,9.0,225,25,36,X
6,2024-02-29 13:35:37.6,2024-02-29 14:37:04.1,1.3,95,13,22,L
6,2024-02-29 13:42:40.1,2024-02-29 14:43:58.9,3.1,187,16,27,S
6,2024-02-29 03:00:00.0,2024-02-29 10:00:00.0,5.5,230,20,24,C
6,2024-02-29 03:00:00.0,2024-02-29 10:00:00.0,9.0,302,20,19,X
6,2024-02-29 03:00:00.0,2024-02-29 10:00:00.0,16.7,97,16,39,Ku
7,2024-03-31 00:00:00.0,2024-03-31 08:30:30.0,5.5,378,17,21,C
7,2024-03-31 00:00:00.0,2024-03-31 08:30:30.0,9.0,200,14,17,X
7,2024-03-31 00:00:00.0,2024-03-31 08:30:30.0,16.7,145,23,41,Ku
8,2024-04-20 20:00:00.0,2024-04-21 06:30:30.0,1.6,275,31,46,L
8,2024-04-20 20:00:00.0,2024-04-21 06:30:30.0,2.6,388,22,46,S
8,2024-04-20 20:00:00.0,2024-04-21 06:30:30.0,5.5,278,16,32,C
8,2024-04-20 20:00:00.0,2024-04-21 06:30:30.0,9.0,168,15,25,X
9,2024-06-14 22:49:12.0,2024-06-14 23:39:29.0,1.3,187,20,35,L
9,2024-06-14 22:50:07.0,2024-06-14 23:37:33.0,3.1,152,11,14,S
9,2024-06-13 16:05:50.0,2024-06-14 02:51:40.0,5.5,150,8,7,C
9,2024-06-13 16:05:50.0,2024-06-14 02:51:40.0,9.0,100,12,6,X
10,2024-07-16 11:16:29.9,2024-07-16 21:58:09.9,1.6,125,34,21,L
10,2024-07-16 11:16:29.9,2024-07-16 21:58:09.9,2.6,134,26,15,S
10,2024-07-12 12:28:29.9,2024-07-12 12:28:29.9,5.5,113,8.2,9,C
10,2024-07-12 12:28:29.9,2024-07-12 12:28:29.9,9.0,81.2,6.7,7,X
